ticker,name,sector,lei
SYNC,Syncona,Pharmaceuticals & Biotechnology,213800X8MBI5VQITLW60
THRL,Target Healthcare REIT,Real Estate Investment Trusts,
TATE,Tate & Lyle,Food Producers,2138008K14474WPKZ244
TW,Taylor Wimpey,Household goods & home construction,21380089BTRXTD8S3R66
TBCG,TBC Bank,Banks,213800T6NS9N2WQ3B328
TEP,Telecom Plus,Telecomms,549300QGHDX5UKE58G86
TMPL,Temple Bar Investment Trust,Collective Investments,
TEM,Templeton Emerging Markets Investment Trust,Investment Trusts,
TSCO,Tesco,Food & drug retailing,2138002P5RNKC5W2JZ46
TRIG,The Renewables Infrastructure Group,Investment Trusts,
THG,THG,Personal Products,21380066N3SV9O8IDP37
TCAP,TP ICAP,Support Services,2138006YAA7IRVKKGE63
TRY,TR Property Investment Trust,Investment Trusts,
TRN,Trainline,Industrial Transportation,213800HO26VXTFJ4MO71
TPK,Travis Perkins,Support Services,2138001I27OUBAF22K83
BBOX,Tritax Big Box REIT,Real Estate Investment Trusts,
TRST,Trustpilot,Technology,2138002ILUNMGNPSGG46
TFIF,Twentyfour Income Fund,Investment Trusts,
ULVR,Unilever,Personal goods,549300MKFYEKVRWML317
UTG,Unite Group,Real estate investment trusts,
UU,United Utilities,Multiline utilities,2138002IEYQAOC88ZJ59
UEM,Utilico Emerging Markets,Investment Trusts,
VSVS,Vesuvius,General Industrials,213800ORZ521W585SY02
VCT,Victrex,Chemicals,213800UYNPHAUNHPXL67
VEIL,Vietnam Enterprise Investments,General Financial,213800SYT3T4AGEVW864
VOF,VinaCapital Vietnam Opportunity Fund,General Financial,
VTY,Vistry Group,Home Construction,2138001KOWN7CG9SLK53
VOD,Vodafone Group,Mobile telecommunications,213800TB53ELEUKM7Q61
FAN,Volution Group,Construction & Materials,213800EPT84EQCDHO768
WOSG,Watches of Switzerland,Personal Goods,2138008ZOT5K9PJW7168
WEIR,Weir,Industrial goods and services,549300KDR56WHY9I3D10
JDW,Wetherspoons,Travel & Leisure,213800CHWARFAAN7UB85
WTB,Whitbread,Retail hospitality,21380099VMZKRMN3EX36
SMWH,WHSmith,Retailers,2138001KJNGUJ34G7X91
WIX,Wickes,Retailers,213800IEX9ZXJRAOL133
WIZZ,Wizz Air,Travel & Leisure,213800COXGZCORLJZA85
WKP,Workspace Group,Real Estate Investment Trusts,
WWH,Worldwide Healthcare Trust,Investment Trusts,
WPP,WPP,Media,549300LSGBXPYHXGDT93
XPP,XP Power,Industrial Goods and Services,213800I7RWQ3FV72EZ26
XPS,XPS Pensions,Financial Services,2138004Y8OBPJEAACJ11
ZIG,Zigup,Support Services,213800B3ZUTDOZYVJB41
