exchange,ticker,name,sector,website,lei,wikidata,hq_city,hq_latitude,hq_longitude
ASX,VCX,Vicinity Centres,Real Estate,https://www.vicinity.com.au,,Q1054327,Melbourne,-37.81417,144.96306
ASX,VEA,Viva Energy,Energy,https://www.vivaenergy.com.au/,,Q77024439,,,
ASX,VGN,Virgin Australia Holdings,Industrials,http://www.virginaustralia.com/,25490007BKCOB4T1PK16,Q727074,Bowen Hills,-27.4432,153.038
ASX,VNL,Vinyl Group Ltd,,https://www.vinyl.group,,Q135653398,,,
ASX,VNT,Ventia Services Group,Industrials,,,Q118965576,,,
ASX,VPG,Vodafone,telecommunications industry,https://www.vodafone.com/,213800TB53ELEUKM7Q61,Q122141,London,51.50722,-0.1275
ASX,VRL,Village Roadshow,film industry,http://villageroadshow.com.au,,Q825291,Melbourne,-37.81417,144.96306
ASX,VRT,Virtus Health,in vitro fertilization,http://www.virtushealth.com.au/,,Q28134054,,,
ASX,VUL,Vulcan Energy Resources,,https://v-er.eu/,8945006OYFHQ9HE4XE54,Q109627145,Perth,-31.95583,115.85972
ASX,WAF,West African Resources,Materials,,,Q109627146,,,
ASX,WAM,WAM Capital,Financials,,,Q109627147,,,
ASX,WBA,Webster Limited,,http://www.websterltd.com.au/,,Q22909732,Tasmania,-42,147
ASX,WBC,Westpac,Financials,https://www.westpac.com.au/,EN5TNI6CI43VEPAMHL14,Q2031726,Westpac Place,-33.86579,151.20414
ASX,WBT,Weebit Nano,,https://www.weebit-nano.com/,,Q108293532,,,
ASX,WCI,Waratah Coal,,https://www.waratahcoal.com/,,Q111913616,,,
ASX,WDS,Woodside Energy Group,Energy,https://www.woodside.com/,2549005ZC5RXAOO7FH41,Q1812208,Perth,-31.95583,115.85972
ASX,WEB,Webjet Limited,tourism,https://www.webjet.com.au/,21380064YZG4XMO4CW38,Q7978791,City of Melbourne,-37.81361,144.96306
ASX,WES,Wesfarmers,Consumer Discretionary,http://www.wesfarmers.com.au,5493003L32ZX9557ST85,Q908144,Perth,-31.95583,115.85972
ASX,WGX,Westgold Resources,Materials,https://www.westgold.com.au/,2549003AMX9BL7CKBQ74,Q109627151,Perth,-31.95583,115.85972
ASX,WHC,Whitehaven Coal,Energy,https://whitehavencoal.com.au/,,Q107481791,,,
ASX,WLE,WAM Leaders,Financials,,,Q109627153,,,
ASX,WOR,Worley,Energy,https://www.worley.com/,,Q3570041,Sydney,-33.86778,151.21
ASX,WOW,Woolworths Group,Consumer Staples,https://www.woolworthsgroup.com.au/,,Q607272,Sydney,-33.86778,151.21
ASX,WPG,WPG Resources Ltd,mining,http://wpgresources.com.au/,,Q17040762,Sydney Central Business District,-33.86889,151.20833
ASX,WTC,Wisetech Global,Information Technology,https://www.wisetechglobal.com/,254900VE3AF301Q85K83,Q106253738,Sydney,-33.86778,151.21
ASX,XAO,All Ordinaries,,https://www.spglobal.com/spdji/en/indices/equity/all-ordinaries/#overview,,Q2603489,,,
ASX,XFL,S&P/ASX 50,,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-50/#overview,,Q2204387,,,
ASX,XJO,S&P/ASX 200,,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/#overview,,Q3458980,,,
ASX,XKO,S&P/ASX 300,,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-300/,,Q7386988,,,
ASX,XRO,Xero,Information Technology,https://www.xero.com/,,Q8043794,Wellington,-41.28889,174.77722
ASX,XYX,"Block, Inc.",Financials,https://block.xyz/,549300OHIIUWSTIZME52,Q110778747,San Francisco,37.775,-122.41944
ASX,YAL,Yancoal Australia,Materials,https://www.yancoal.com.au/,,Q4865759,,,
ASX,Z1P,Zip Co Limited,financial services,https://zip.co/,254900RM95URFC15G140,Q56255290,,,
ASX,ZIM,Zimplats Holdings,Materials,https://www.zimplats.com/,,Q109625764,,,
ASX,ZIP,Zip,Financials,http://zip.co/,,Q109743452,,,
NZX,ACE,Ascension Capital,,,,,,,
NZX,AFC,AFC Group,,,,,,,
NZX,AFI,Australian Foundation Investment Company,,,,,,,
NZX,AFT,AFT Pharmaceuticals,,,,,,,
NZX,AGL,Accordant Group,,,,,,,
NZX,AIR,Air New Zealand,air transport,https://www.airnewzealand.com,,Q204296,Auckland,-36.84917,174.76528
NZX,AKL,Auckland Real Estate Trust,,,,,,,
NZX,ALF,Allied Farmers,,,,,,,
NZX,APA,The Asia Pacific Trust,,,,,,,
NZX,APL,Asset Plus,,,,,,,
NZX,ARB,ArborGen Holdings,,,,,,,
NZX,ARG,Argosy Property,,,,,,,
NZX,ARV,Arvida Group,,,,,,,
NZX,BFG,Burger Fuel,restaurant,https://www.burgerfuel.com/,,Q4998537,Auckland,-36.84917,174.76528
NZX,BGI,Blackwell Global Holdings,,,,,,,
NZX,BGP,Briscoe Group,retail,https://www.briscoegroup.co.nz/,,Q4968659,Morningside,-36.8788,174.733
NZX,BIT,The Bankers Investment Trust plc,,,,,,,
NZX,BLT,Blis Technologies,biotechnology,http://www.blis.co.nz,,Q4926813,Dunedin,-45.87417,170.50361
NZX,BPG,Blackpearl Group,,,,,,,
NZX,BRM,Barramundi,,,,,,,
NZX,CAV,Cavalier Corporation,,,,Q1051723,Auckland,-36.84917,174.76528
NZX,CBD,Cannasouth,,,,,,,
NZX,CDI,CDL Investment New Zealand,,,,,,,
NZX,CEN,Contact Energy,trade of electricity,http://www.contactenergy.co.nz/,,Q1128439,Wellington,-41.28889,174.77722
NZX,CGF,Cooks Global Foods,,,,,,,
NZX,CMO,The Colonial Motor Company,,,,,,,
NZX,CNU,Chorus,telecommunications industry,https://www.chorus.co.nz/,R7NJHU48LTCIOB9BVU57,Q5105276,Wellington,-41.28889,174.77722
NZX,CRP,Chatham Rock Phosphate,,,,,,,
NZX,CVT,Comvita Limited,,,,,,,
NZX,DGL,Delegat Group,,,,,,,
NZX,DOW,Downer EDI Works,,http://www.downergroup.com/,,Q5303113,,,
NZX,EBO,Ebos Group,,,,,,,
NZX,ENS,Enprise Group,,,,,,,
NZX,ERD,Eroad,,,,,,,
NZX,EVO,Evolve Education Group,,,,,,,
NZX,FBU,Fletcher Building,construction,http://www.fletcherbuilding.co.nz/,549300UPHQTT2LG75045,Q246946,Auckland City,-36.873,174.755
NZX,FCG,Fonterra,dairying,http://www.fonterra.com,549300NCQQ9E4O5JX172,Q946370,Auckland,-36.84917,174.76528
NZX,FCT,Foreign & Colonial Investment Trust plc,,,,,,,
NZX,FPH,Fisher & Paykel Healthcare,,http://www.fphcare.com,,Q5454753,Auckland,-36.84917,174.76528
NZX,FRE,Freightways,,,,,,,
NZX,FWL,Foley Wines,,,,,,,
NZX,GEN,General Capital,,,,,,,
NZX,GEO,Geo Limited,,http://www.geoop.com,,Q16839847,Auckland,-36.84917,174.76528
NZX,GFI,Greenfern Industries,,,,,,,
NZX,GFL,Geneva Finance,,,,,,,
NZX,GNE,Genesis Energy Limited,energy industry,http://www.genesisenergy.co.nz/,254900HM1ABRDJ7T5718,Q5532825,Auckland City,-36.873,174.755
NZX,GSH,Good Spirits Hospitality,,,,,,,
NZX,GTK,Gentrack Group Ltd,,,,,,,
NZX,GWC,Goodwood Capital,,,,,,,
NZX,GXH,Green Cross Health,,https://www.greencrosshealth.co.nz/,,Q7180825,Auckland,-36.84917,174.76528
NZX,HGH,Heartland Group Holdings,financial services,http://www.heartland.co.nz/,,Q17051112,Christchurch,-43.53111,172.63611
NZX,HLG,Hallenstein Glassons Holdings,retail,,,Q24189399,Auckland,-36.84917,174.76528
NZX,HMY,Harmoney Group,personal finance,http://www.harmoney.co.nz/,,Q18348448,Auckland,-36.84917,174.76528
NZX,IFT,Infratil,trade of electricity,http://www.infratil.com/,,Q1662683,Wellington,-41.28889,174.77722
NZX,IKE,ikeGPS,,http://www.ikegps.com,,Q7647104,Wellington,-41.28889,174.77722
NZX,IPL,Investore Property,,,,,,,
NZX,JLG,Just Life Group,,,,,,,
NZX,JPG,JPMorgan Global Growth & Income plc,economics of banking,https://www.jpmorganchase.com/,8I5DZWZKVSZI1NUHU748,Q192314,New York City,40.71278,-74.00611
NZX,KFL,Kingfish Limited,,,,,,,
NZX,KMD,KMD Brands,retail,https://www.kathmandu.com.au,,Q1736294,Christchurch,-43.53111,172.63611
NZX,KPG,Kiwi Property,,http://www.kp.co.nz,,Q24189633,Auckland,-36.84917,174.76528
NZX,LIC,Livestock Improvement Corporation,,,,,,,
NZX,MCK,Millennium & Copthorne Hotels,hotel,https://www.millenniumhotels.com/,,Q6858774,London,51.50722,-0.1275
NZX,MCY,Mercury Energy,electricity generation,https://www.mercury.co.nz,,Q6818611,Auckland,-36.84917,174.76528
NZX,MEE,Me Today,,,,,,,
NZX,MEL,Meridian Energy,trade of electricity,https://www.meridianenergy.co.nz/,,Q6819305,Wellington,-41.28889,174.77722
NZX,MFB,My Food Bag,retail,http://www.myfoodbag.co.nz/,,Q23461804,Auckland,-36.84917,174.76528
NZX,MFT,Mainfreight,logistics,http://www.mainfreight.com/,,Q3278352,Auckland,-36.84917,174.76528
NZX,MHM,MHM Automation,,,,,,,
NZX,MLN,Marlin Global,,,,,,,
NZX,MMH,Marsden Maritime Holding,,,,,,,
NZX,MOA,Moa Group Limited,,,,,,,
NZX,MPG,Metro Performance Glass,,,,,,,
NZX,MWE,Marlborough Wine Estates Group,,,,,,,
NZX,NPF,New Zealand Property Trust,,,,,,,
NZX,NPH,Napier Port Holdings,,,,,,,
NZX,NTL,New Talisman Gold Mines,,,,,,,
NZX,NWF,NZ Windfarms,,,,Q7690963,,,
NZX,NZK,NZ King Salmon Investments,,https://www.kingsalmon.co.nz/,,Q111046687,,,
NZX,NZL,New Zealand Rural Land Company,,,,,,,
NZX,NZM,New Zealand Media and Entertainment,broadcasting,,,Q7759231,Auckland,-36.84917,174.76528
NZX,NZO,New Zealand Oil & Gas,,,,,,,
NZX,NZR,The New Zealand Refining Company,,,,,,,
NZX,NZX,NZX,,https://www.nzx.com,,Q627019,Wellington,-41.28889,174.77722
NZX,OCA,Oceania Healthcare,,,,,,,
NZX,PCT,Precinct Properties New Zealand,,,,,,,
NZX,PEB,Pacific Edge Limited,,http://www.pacificedgedx.com/,,Q22032132,Dunedin,-45.87417,170.50361
NZX,PFI,Property for Industry,,,,,,,
NZX,PGW,PGG Wrightson,,,,Q7119164,Christchurch,-43.53111,172.63611
NZX,PHL,Promisia Healthcare,,,,,,,
NZX,POT,Port of Tauranga,port,http://www.port-tauranga.co.nz/,,Q785661,,,
