ticker,name,sector,lei
LIO,Liontrust Asset Management plc,,549300XVXU6S7PLCL855
BTC,London BTC Company Limited,,9845006607892CED8456
LSL,Lsl Property Services plc,,213800T4VM5VR3C7S706
LUCE,Luceco plc,,213800BBFZK4W4P98U76
MACF,Macfarlane Group plc,,213800LVRYDERSJAAZ73
MSLH,Marshalls plc,,213800S21IFC367J5V62
MARS,Marston's plc,,213800Q6RP3ZJ2CZR962
MCB,Mcbride plc,,213800HX7FMPA2CIEF02
MER,Mears Group plc,,213800DHCALLH8IRJV57
TAR,Medcaw Investments plc,,213800UTM4MRTZHJ8C21
GLE,Mj Gleeson plc,,21380064K7N2W7FD6434
MCG,Mobico Group plc,,213800A8IQEMY8PA5X34
MOTR,Motorpoint Group plc,,213800WG8RSE45I3MF22
MTVW,Mountview Estates plc,,213800CWH9IB4DTEYG96
NEO,Neo Energy Metals plc,,213800WE14587VRQ5Y10
NRR,Newriver REIT plc,,2138004GX1VAUMH66L31
NXR,Norcros plc,,213800EIMJZZA1GBIE18
NOG,Nostrum Oil & Gas plc,,2138007VWEP4MM3J8B29
OTB,On The Beach Group plc,,213800K51Y9BZY7F9R69
ORNT,Orient Telecoms plc,,213800JSIBTMDYPPKQ68
PALM,Panther Metals plc,,213800FE99O4CN3DJU27
PAY,Paypoint plc,,5493004YKWI8U0GDD138
PPP,Pennpetro Energy plc,,213800BNN7UN97NVP509
PBEE,Pensionbee Group plc,,2138008663P5FHPGZV74
PTSB,Permanent Tsb Group Holdings Public Limited Company,,635400DTNHVYGZODKQ93
PGH,Personal Group Holdings plc,,213800TN8BH2YYWAH345
PHLL,Petershill Partners plc,,213800HTCF8A7XM22A32
PHAR,Pharos Energy plc,,549300DDKLXYLLO4N524
PNPL,Pineapple Power Corporation plc,,213800BTD7JL99MTGQ68
PINE,Pinewood Technologies Group plc,,213800VRSPZFOGMMIS18
PODP,Pod Point Group Holdings plc,,213800MY9U5MEDG21D89
PRV,Porvair plc,,213800ECKHS8LAQO3C45
PRD,Predator Oil & Gas Holdings plc,,213800L7QXFURBFLDS54
PROC,Procook Group plc,,213800RWZMK3ARHMUN52
PRTC,Puretech Health plc,,213800LVPDNO2Z9T9I39
PZC,Pz Cussons plc,,XB3CXKKKED7OMV80FY35
QDE,Quantum Data Energy plc,,213800HFVHGJ9YGO9F71
RE,R.E.A. Holdings plc,,213800YXL94R94RYG150
MODE,R8 Capital Investments plc,,2138001BLO7EORII7E91
RBW,Rainbow Rare Earths Limited,,213800HONYSAXTG6KS11
RCGH,Rc365 Holding Limited,,213800LQJTQSFR2XY322
RCH,Reach plc,,213800GNI5XF3XOATR61
REC,Record plc,,5493000VJ55ZTYGX4322
VZLA,Red Capital plc,,213800O4A398G6GL7270
