zip,city,state,latitude,longitude
BA4,Evercreech,UK,51.14938,-2.51421
BA5,Bleadney,UK,51.21173,-2.65995
BA6,Edgarley,UK,51.14046,-2.70892
BA7,Lovington,UK,51.08744,-2.53894
BA8,Henstridge Ash,UK,51.00731,-2.42590
BA9,Holton,UK,51.05856,-2.41446
BB1,Wilpshire,UK,53.77337,-2.46333
BB10,Hurstwood,UK,53.78860,-2.20553
BB11,Burnley,UK,53.79165,-2.27500
BB12,Barley,UK,53.80440,-2.30968
BB18,Barnoldswick,UK,53.91710,-2.18700
BB2,Balderstone,UK,53.75471,-2.52936
BB3,Hoddlesden,UK,53.70820,-2.47743
BB4,Haslingden Grane,UK,53.69772,-2.29860
BB5,Altham,UK,53.75619,-2.37200
BB6,Langho,UK,53.79365,-2.42975
BB7,Bashall Town,UK,53.87792,-2.38126
BB8,Trawden,UK,53.86204,-2.16767
BB9,Barrowford,UK,53.84652,-2.21094
BB94,Earby,UK,53.91550,-2.14280
BD1,Bradford,UK,53.79390,-1.75210
BD10,Bradford,UK,53.83280,-1.72550
BD11,Adwalton,UK,53.75093,-1.67703
BD12,Low Moor,UK,53.74387,-1.76443
BD13,Cullingworth,UK,53.79408,-1.88974
BD14,Clayton,UK,53.76670,-1.81670
BD15,Allerton,UK,53.81470,-1.84350
BD16,Eldwick,UK,53.84600,-1.84930
BD17,Baildon,UK,53.84710,-1.78790
BD18,Shipley,UK,53.83330,-1.76670
BD19,Gomersal,UK,53.72745,-1.70145
BD2,Bradford,UK,53.79390,-1.75210
BD20,Lothersdale,UK,53.90162,-1.97871
BD21,Ingrow,UK,53.86110,-1.91155
BD22,Cowling,UK,53.84287,-1.96676
BD23,Airton,UK,54.03083,-2.09309
BD24,High Birkwith,UK,54.09361,-2.29149
BD3,Bradford,UK,53.79390,-1.75210
BD4,Tong Street,UK,53.77072,-1.72938
BD5,Bradford,UK,53.79390,-1.75210
BD6,Buttershaw,UK,53.76450,-1.78925
BD7,Bradford,UK,53.78350,-1.78510
BD8,Bradford,UK,53.80170,-1.78390
BD9,Bradford,UK,53.81280,-1.79190
BD97,Bradford,UK,53.85050,-1.83740
BD98,Bradford,UK,53.82380,-1.77030
BD99,Bradford,UK,53.79390,-1.75210
BH1,Bournemouth,UK,50.72050,-1.87950
BH10,Bournemouth,UK,50.75950,-1.89310
BH11,Kinson,UK,50.76550,-1.90960
BH12,Newtown,UK,50.73853,-1.91983
BH13,Canford Cliffs,UK,50.70360,-1.92090
BH14,Lilliput,UK,50.72990,-1.94490
BH15,Longfleet,UK,50.71670,-2.00000
BH16,Lytchett Minster,UK,50.74242,-2.05482
BH17,Waterloo,UK,50.74700,-1.98010
BH18,Broadstone,UK,50.75000,-1.98330
BH19,Worth Matravers,UK,50.61731,-1.98479
BH2,Bournemouth,UK,50.72050,-1.87950
BH20,Bere Regis,UK,50.67082,-2.15494
BH21,Chalbury Common,UK,50.83124,-1.97518
BH22,Longham,UK,50.79826,-1.89451
BH23,Avon,UK,50.75541,-1.75777
BH24,St Leonards,UK,50.84279,-1.78568
BH25,Ashley,UK,50.75084,-1.66298
BH3,Winton,UK,50.73330,-1.86670
BH31,Romford,UK,50.87575,-1.87115
BH4,Westbourne,UK,50.72300,-1.89960
BH5,Boscombe,UK,50.72520,-1.84190
BH6,Wick,UK,50.72485,-1.78210
BH7,Bournemouth,UK,50.73630,-1.82700
BH8,Holdenhurst,UK,50.75680,-1.81940
BH9,Moordown,UK,50.74970,-1.87340
BL0,Edenfield,UK,53.65487,-2.31278
BL1,Bolton,UK,53.58330,-2.43330
BL11,Bolton,UK,53.58330,-2.43330
BL2,Harwood,UK,53.59167,-2.39167
BL3,Daubhill,UK,53.56350,-2.37800
BL4,Kearsley,UK,53.54165,-2.39165
BL5,Wingates,UK,53.54875,-2.52035
BL6,Rivington,UK,53.60800,-2.57570
BL7,Edgworth,UK,53.63592,-2.44458
BL78,Bolton,UK,53.58330,-2.43330
BL8,Tottington,UK,53.61940,-2.33925
BL9,Walmersley,UK,53.60243,-2.29808
BN1,Coldean,UK,50.86140,-0.12042
BN10,Peacehaven,UK,50.79270,-0.00650
BN11,West Worthing,UK,50.81425,-0.38285
BN12,Ferring,UK,50.80785,-0.43005
BN13,West Tarring,UK,50.83870,-0.42806
BN14,Findon,UK,50.84107,-0.38662
BN15,North Lancing,UK,50.82943,-0.32845
BN16,Kingston,UK,50.81518,-0.48550
BN17,Wick,UK,50.81636,-0.54980
BN18,Arundel,UK,50.85500,-0.57770
BN2,Kemp Town,UK,50.82383,-0.08282
BN20,Holywell,UK,50.77764,0.24224
BN21,Eastbourne,UK,50.76870,0.28450
BN22,Hampden Park,UK,50.78940,0.28370
BN23,Friday Street,UK,50.79770,0.31250
BN24,Pevensey Bay,UK,50.81635,0.33847
BN25,East Blatchington,UK,50.78070,0.09563
BN26,Wilmington,UK,50.81958,0.17770
BN27,Lealands,UK,50.87931,0.28069
BN3,Hove,UK,50.83673,-0.17963
BN41,Portslade,UK,50.84290,-0.21610
BN42,Southwick,UK,50.83680,-0.23840
BN43,Shoreham-by-Sea,UK,50.83410,-0.27430
BN44,Ashurst,UK,50.89105,-0.31443
BN45,Poynings,UK,50.89595,-0.18530
BN5,Oreham Common,UK,50.91409,-0.25985
BN50,The City of Brighton and Hove,UK,50.82540,-0.14070
BN51,Rottingdean,UK,50.80980,-0.05940
BN52,The City of Brighton and Hove,UK,50.83440,-0.16810
BN6,Albourne,UK,50.92262,-0.14494
BN7,South Malling,UK,50.87272,-0.01570
BN8,Beddingham,UK,50.90176,0.07530
BN88,The City of Brighton and Hove,UK,50.82690,-0.14040
BN9,South Heighton,UK,50.80458,0.05412
BN91,Worthing,UK,50.81800,-0.37540
BN95,Churchill Ward,UK,50.82320,-0.33010
BN99,Lancing,UK,50.82020,-0.36600
BR1,London,UK,51.40370,0.03050
BR2,London,UK,51.37002,0.02375
BR3,London,UK,51.40880,-0.02530
