zip,city,state,latitude,longitude
84518,,UT,39.388873,-110.876886
84520,,UT,39.530686,-110.418374
84521,,UT,39.417033,-110.762446
84522,,UT,38.860310,-111.223206
84523,,UT,39.058485,-111.220112
84525,,UT,39.073151,-110.223130
84526,,UT,39.681544,-110.965170
84528,,UT,39.402323,-111.075783
84529,,UT,39.711527,-110.773264
84530,,UT,38.244079,-109.404321
84531,,UT,37.059844,-109.832962
84532,,UT,38.517666,-109.385155
84533,,UT,37.405415,-110.537252
84534,,UT,37.215644,-109.266301
84535,,UT,37.849881,-109.296406
84536,,UT,37.130407,-110.218555
84537,,UT,39.299637,-111.173357
84539,,UT,39.576100,-110.400681
84540,,UT,39.216507,-109.520457
84542,,UT,39.742906,-110.488450
84601,Provo,UT,40.227242,-111.695810
84602,,UT,40.254108,-111.650082
84604,Provo,UT,40.318664,-111.576954
84606,Provo,UT,40.214921,-111.626174
84620,,UT,38.922437,-111.924302
84621,,UT,39.051420,-111.835095
84622,,UT,39.098174,-111.813528
84623,,UT,39.453838,-111.588450
84624,,UT,39.382623,-112.593730
84626,,UT,39.936023,-111.984892
84627,,UT,39.355361,-111.585664
84628,,UT,39.935745,-112.134300
84629,,UT,39.765512,-111.452879
84630,,UT,39.310615,-111.834217
84631,,UT,38.997719,-112.396775
84632,,UT,39.644950,-111.646511
84633,,UT,39.939789,-111.891247
84634,,UT,39.178050,-111.834167
84635,,UT,39.390710,-112.721528
84636,,UT,39.139593,-112.338879
84637,,UT,38.721755,-112.487146
84638,,UT,39.501927,-112.257709
84639,,UT,39.507173,-111.900107
84640,,UT,39.464750,-112.392214
84642,,UT,39.256568,-111.552177
84643,,UT,39.128724,-111.684878
84644,,UT,38.848875,-112.332080
84645,,UT,39.860513,-111.840052
84646,,UT,39.541055,-111.608795
84647,,UT,39.527088,-111.406560
84648,,UT,39.686596,-111.868172
84649,,UT,39.346577,-112.330014
84651,,UT,39.957762,-111.693744
84652,,UT,39.017239,-111.875876
84653,,UT,40.047985,-111.668488
84654,,UT,38.864166,-111.678983
84655,,UT,39.971313,-111.806820
84656,,UT,39.235172,-112.108787
84657,,UT,38.818586,-111.938937
84660,,UT,40.040638,-111.419114
84662,,UT,39.439773,-111.485741
84663,Springville,UT,40.192659,-111.489219
84664,,UT,40.126231,-111.577176
84665,,UT,39.192121,-111.616247
84667,,UT,39.500344,-111.664838
84701,,UT,38.590731,-111.800446
84710,,UT,37.469176,-112.510553
84711,,UT,38.725549,-112.048812
84712,,UT,38.136558,-111.975577
84713,,UT,38.332558,-112.516895
84714,,UT,37.838191,-113.765957
84715,,UT,38.332217,-111.603131
84716,,UT,37.944418,-111.442260
84718,,UT,37.579510,-112.083026
84719,,UT,37.660881,-112.781467
84720,,UT,37.593409,-113.292337
84721,,UT,37.768677,-113.133595
84722,,UT,37.484812,-113.555594
84723,,UT,38.175495,-112.249497
84724,,UT,38.674153,-112.150144
84725,,UT,37.540352,-113.780206
84726,,UT,37.753358,-111.580362
84728,,UT,39.333131,-113.912398
84729,,UT,37.382639,-112.660150
84730,,UT,38.736397,-112.019284
84731,,UT,38.186485,-112.763384
84732,,UT,38.445321,-111.904087
84733,,UT,37.297130,-113.805681
84734,,UT,38.362690,-110.576846
84735,,UT,37.644930,-112.449555
84736,,UT,37.663277,-111.787795
84737,,UT,37.029351,-113.246397
84738,,UT,37.216322,-113.698554
84739,,UT,38.641996,-112.222964
84740,,UT,38.284281,-112.264387
84741,,UT,37.188452,-112.249236
84742,,UT,37.517737,-113.158779
84743,,UT,38.208247,-112.185731
84744,,UT,38.626126,-111.918708
84745,,UT,37.208408,-113.262655
84746,,UT,37.238607,-113.350607
84747,,UT,38.446277,-111.637732
84749,,UT,38.354346,-111.499498
84750,,UT,38.438672,-112.192102
84751,,UT,38.370090,-112.920624
84752,,UT,38.251007,-112.887240
84753,,UT,37.965227,-113.858043
84754,,UT,38.610772,-112.117106
84755,,UT,37.226514,-112.785300
84756,,UT,37.742488,-113.547740
84757,,UT,37.464570,-113.269305
84758,,UT,37.326515,-112.780576
84759,,UT,37.926071,-112.390081
84760,,UT,37.949582,-112.661783
84761,,UT,37.852329,-112.866017
84762,,UT,37.497245,-112.736980
84763,,UT,37.146693,-113.069504
84764,,UT,37.785331,-111.932454
84765,,UT,37.337765,-114.017951
84766,,UT,38.598516,-112.345688
84767,,UT,37.201399,-112.985805
84770,,UT,37.138390,-113.629601
84772,,UT,37.793286,-112.947567
84773,,UT,38.250750,-111.470479
84774,,UT,37.243249,-113.280893
84775,,UT,38.289608,-111.033420
84776,,UT,37.629610,-112.082480
84779,,UT,37.334886,-113.122148
84780,,UT,37.133167,-113.473684
84781,,UT,37.396842,-113.475054
84782,,UT,37.379912,-113.667644
84783,,UT,37.263830,-113.682839
84784,,UT,37.018670,-112.969318
84790,St George,UT,37.046092,-113.557306
